01.001.	01	001	Penyediaan Jasa Surat Menyurat
01.002.	01	002	Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik
01.003.	01	003	Penyediaan Jasa Peralatan dan Perlengkapan Kantor
01.004.	01	004	Penyediaan Jasa Jaminan Pemeliharaan Kesehatan PNS
01.005.	01	005	Penyediaan Jasa Jaminan Barang Milik Daerah
01.006.	01	006	Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional
01.007.	01	007	Penyediaan Jasa Administrasi Keuangan
01.008.	01	008	Penyediaan Jasa Kebersihan Kantor
01.009.	01	009	Penyediaan Jasa Perbaikan Peralatan Kerja
01.010.	01	010	Penyediaan Alat Tulis Kantor
01.011.	01	011	Penyediaan Barang Cetakan dan Penggandaan
01.012.	01	012	Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor
01.013.	01	013	Penyediaan Peralatan dan Perlengkapan Kantor
01.014.	01	014	Penyediaan Peralatan Rumah Tangga
01.015.	01	015	Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan
01.016.	01	016	Penyediaan Bahan Logistik Kantor
01.017.	01	017	Penyediaan Makanan dan Minuman
01.018.	01	018	Rapat-Rapat Kordinasi dan Konsultasi ke Luar Daerah
01.019.	01	019	Rapat-rapat koordinasi dan konsultasi dalam daerah
01.020.	01	020	Penyediaan Jasa Pengamanan Lingkungan Kantor
01.021.	01	021	Penyediaan Operasional UPT PBB P2 Kec. Cipocok Jaya
01.022.	01	022	Penyediaan Operasional UPT PBB P2 Kec. Serang
02.	02		Program Peningkatan Sarana dan Prasarana Aparatur
02.001.	02	001	Pembangunan Rumah Jabatan
02.002.	02	002	Pembangunan Rumah Dinas
02.003.	02	003	Pembangunan Gedung Kantor
02.004.	02	004	Pengadaan Mobil Jabatan
02.005.	02	005	Pengadaan Kendaraan Dinas/Operasional
02.006.	02	006	Pengadaan Perlengkapan Rumah Jabatan/Dinas
02.007.	02	007	Pengadaan Perlengkapan Gedung/Kantor
02.008.	02	008	Pengadaan Peralatan Rumah Jabatan/Dinas
02.009.	02	009	Pengadaan Peralatan Gedung Kantor
02.010.	02	010	Pengadaan Meubeulair
02.011.	02	011	Pengadaan Rumah Dinas/Gedung Kantor
02.012.	02	012	Pengadaan Tanah
02.013.	02	013	Pengadaan Peralatatan Marching Band
02.014.	02	014	Pengadaan Alat-alat Keamanan
02.019.	02	019	Pemeliharaan Rutin/Berkala Alat-alat Bengkel/Alat-alat Berat
02.020.	02	020	Pemeliharaan Rutin/Berkala Rumah Jabatan
02.021.	02	021	Pemeliharaan Rutin/Berkala Rumah Dinas
02.022.	02	022	Pemeliharaan Rutin/Berkala Gedung Kantor
02.023.	02	023	Pemeliharaan Rutin/Berkala Mobil Jabatan
02.024.	02	024	Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional
02.025.	02	025	Pemeliharaan Rutin/Berkala Perlengkapan Rumah Jabatan/Dinas
02.026.	02	026	Pemeliharaan Rutin/Berkala Perlengkapan Gedung Kantor
02.027.	02	027	Pemeliharaan Rutin/Berkala Peralatan Rumah Jabatan/Dinas
02.028.	02	028	Pemeliharaan Rutin/Berkala Peralatan Gedung Kantor
02.029.	02	029	Pemeliharaan Rutin/Berkala Mebeleur
02.030.	02	030	Pemeliharaan Rutin/Berkala Peralatan Kerja Kantor
02.040.	02	040	Rehabilitasi sedang/berat rumah jabatan
